homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
22,15,27,17,10,25,60,0,0,0,0,0,32,31,5,20202,5,9,186,38,110373,4,2,0,42,0,6,0,0,0,12,5,4,53
18,11,37,2,27,18,66,0,0,0,0,0,31,32,6,22012,6,13,187,38,110738,6,10,0,76,0,2,0,0,0,6,3,4,63
24,19,22,13,20,28,80,0,0,0,0,0,32,32,3,22220,3,6,188,38,110740,3,5,0,44,0,7,0,2,0,9,5,6,43
21,17,31,6,20,24,33,0,0,0,0,0,32,32,7,121,7,7,189,38,110908,7,4,0,53,0,3,0,1,0,4,11,9,33
21,20,27,7,19,26,60,0,0,0,0,0,32,32,7,222,8,8,190,38,110915,3,6,0,53,0,4,0,0,0,9,4,7,43
19,21,24,14,23,37,46,0,0,0,0,0,32,32,3,2021,3,8,191,38,111433,3,2,0,44,0,4,0,1,0,10,7,7,50
23,19,30,4,32,21,53,0,0,0,0,0,31,32,7,21120,7,7,192,38,111434,7,9,0,61,0,4,0,2,0,5,5,8,63
27,1,21,16,16,23,33,0,0,0,0,0,32,31,3,10102,5,4,193,38,111657,5,5,0,43,0,5,0,0,0,8,6,10,53
17,13,43,1,35,21,46,0,0,0,0,0,31,32,6,22100,6,14,194,38,111974,6,11,0,82,0,3,0,2,0,3,5,2,56
28,15,14,19,16,28,26,0,0,0,0,0,32,32,4,120,4,3,195,38,111993,3,7,0,39,0,10,0,2,0,9,3,6,20
18,22,25,5,17,23,33,0,0,0,0,0,32,32,7,2101,7,10,196,38,112124,7,4,0,55,0,5,0,1,0,6,9,4,53
20,17,13,20,19,36,20,0,0,0,0,0,32,32,4,2000,4,5,197,38,112168,4,2,0,30,0,7,0,2,0,11,6,7,26
18,23,24,12,15,31,46,0,0,0,0,0,32,32,3,20201,3,10,198,38,112493,3,1,0,45,0,4,0,1,0,11,7,5,43
27,6,25,10,25,30,73,0,0,0,0,0,32,32,3,22211,3,6,199,38,112494,4,6,0,46,0,6,0,1,0,10,3,7,53
26,16,25,15,17,22,53,0,0,0,0,0,32,32,3,2112,3,4,200,38,113973,3,5,0,43,0,6,0,0,0,7,7,9,43
17,18,36,3,23,16,46,0,0,0,0,0,32,32,7,12002,7,12,201,38,113974,7,5,0,66,0,3,0,0,0,3,11,4,50
10,16,15,8,12,14,0,0,0,0,0,1,39,39,0,0,0,4,202,17,687,13,3,0,28,0,1,0,2,0,2,3,4,0
10,28,8,23,8,19,0,0,0,0,0,0,39,39,0,0,0,2,203,17,688,11,2,0,18,0,3,0,0,0,4,2,4,0
8,6,23,10,5,11,0,0,0,0,0,0,39,39,0,0,0,7,204,17,689,13,1,0,27,0,1,0,0,0,5,2,1,0
4,20,4,16,15,10,0,0,0,0,0,0,39,39,0,0,0,2,205,15,691,12,4,0,23,0,2,0,0,0,2,4,1,0
7,24,7,18,21,21,0,0,0,0,0,0,39,39,0,0,0,1,206,15,693,12,5,0,22,0,1,0,0,0,4,0,4,0
11,18,11,19,7,11,0,0,0,0,0,0,39,39,0,0,0,4,207,16,694,11,2,0,22,0,2,0,2,0,4,2,2,0
9,7,4,22,14,17,0,0,0,0,0,0,39,39,0,0,0,1,208,16,695,11,3,0,18,0,4,0,1,0,2,4,2,0
14,22,12,25,13,14,0,0,0,0,0,0,39,39,0,0,0,2,209,16,696,11,2,0,16,0,3,0,0,0,5,2,2,0
15,8,8,30,7,21,0,0,0,0,0,0,39,39,0,0,0,1,210,17,697,0,0,0,7,0,5,0,0,0,7,2,2,0
16,25,12,20,10,9,0,0,0,0,0,0,39,39,0,0,0,3,211,17,698,11,2,0,20,0,5,0,2,0,2,4,1,0
8,17,16,2,11,4,0,0,0,0,0,0,39,39,0,0,0,5,212,15,101112,15,4,0,32,0,1,0,1,1,0,3,2,0
8,14,7,26,9,17,0,0,0,0,0,0,39,39,0,0,0,2,213,17,111065,11,2,0,15,0,4,0,2,0,6,2,1,0
7,11,14,4,12,9,0,0,0,0,0,0,39,39,0,0,0,4,214,17,111138,14,4,0,30,0,1,0,0,0,2,3,3,0
15,3,5,29,7,17,0,0,0,0,0,0,39,39,0,0,0,0,215,17,111139,11,1,0,8,0,4,0,2,0,7,2,3,0
11,15,13,11,12,11,0,0,0,0,0,0,39,39,0,0,0,4,216,16,111140,13,3,0,26,0,1,0,0,0,3,2,3,0
8,21,18,12,7,14,0,0,0,0,0,0,39,39,0,0,0,5,217,17,111144,13,2,0,26,0,1,0,2,0,4,3,2,0
12,27,5,28,13,12,0,0,0,0,0,0,39,39,0,0,0,1,218,17,111651,11,2,0,13,0,7,0,2,0,3,2,2,0
17,26,25,17,9,11,0,0,0,0,0,0,39,39,0,0,0,3,219,17,111928,12,3,0,22,0,3,0,2,0,4,1,3,0
11,2,20,1,12,7,0,0,0,0,0,0,39,39,0,0,0,5,220,17,112134,16,5,0,34,0,1,0,1,0,2,1,3,0
14,13,21,9,10,8,0,0,0,0,0,0,39,39,0,0,0,5,221,17,112606,13,2,0,27,0,2,0,2,0,2,4,2,0
9,5,12,14,8,11,0,0,0,0,0,0,39,39,0,0,0,6,222,17,112828,13,1,0,25,0,3,0,1,0,3,4,0,0
15,23,17,24,4,15,0,0,0,0,0,0,39,39,0,0,0,4,223,17,112885,11,0,0,17,0,3,0,2,0,5,2,3,0
15,12,22,6,14,12,0,0,0,0,0,0,39,39,0,0,0,5,224,16,112893,13,3,0,29,0,2,0,0,0,1,3,2,0
4,1,12,15,15,18,0,0,0,0,0,0,39,39,0,0,0,5,225,15,112996,12,1,0,23,0,1,0,1,0,3,4,1,0
8,29,7,27,6,13,0,0,0,0,0,0,39,39,0,0,0,2,226,16,113018,11,1,0,14,0,3,0,0,0,5,2,3,0
9,10,14,5,11,15,0,0,0,0,0,0,39,39,0,0,0,5,227,17,113149,13,4,0,30,0,1,0,2,0,4,1,2,0
7,4,6,21,5,13,0,0,0,0,0,0,39,39,0,0,0,3,228,17,114161,11,2,0,20,0,2,0,2,0,5,1,4,0
9,9,21,7,9,12,0,0,0,0,0,0,39,39,0,0,0,6,229,17,114162,13,2,0,29,0,1,0,1,0,3,2,3,0
9,19,17,13,11,18,0,0,0,0,0,0,39,39,0,0,0,6,230,17,114640,13,2,0,25,0,2,0,0,0,6,1,0,0
0,3,0,6,0,0,0,0,0,0,0,0,41,41,0,0,0,0,231,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,15,0,0,0,0,0,0,0,0,41,41,0,0,0,0,232,0,299,0,0,0,0,0,0,0,2,0,0,0,0,0
0,11,0,14,0,0,0,0,0,0,0,0,41,41,0,0,0,0,233,0,300,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,15,0,0,0,0,0,0,0,0,41,41,0,0,0,0,234,0,417,0,0,0,0,0,0,0,2,0,0,0,0,0
0,7,0,8,0,0,0,0,0,0,0,0,41,41,0,0,0,0,235,0,418,0,0,0,0,0,0,0,2,0,0,0,0,0
0,2,0,7,0,0,0,0,0,0,0,1,41,41,0,0,0,0,236,0,918,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,0,16,0,0,0,0,0,0,0,0,41,41,0,0,0,0,237,0,919,0,0,0,0,0,0,0,1,0,0,0,0,0
0,12,0,10,0,0,0,0,0,0,0,0,41,41,0,0,0,0,238,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,16,0,0,0,0,0,0,0,0,41,41,0,0,0,0,239,0,1456,0,0,0,0,0,0,0,2,0,0,0,0,0
0,10,0,12,0,0,0,0,0,0,0,0,41,41,0,0,0,0,240,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0,5,0,0,0,0,0,0,0,0,41,41,0,0,0,0,241,0,1756,0,0,0,0,0,0,0,2,0,0,0,0,0
0,14,0,13,0,0,0,0,0,0,0,0,41,41,0,0,0,0,242,0,1757,0,0,0,0,0,0,0,2,0,0,0,0,0
0,16,0,1,0,0,0,0,0,0,0,0,41,41,0,0,0,0,243,0,2041,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,4,0,0,0,0,0,0,0,0,41,41,0,0,0,0,244,0,112199,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,9,0,0,0,0,0,0,0,0,41,41,0,0,0,0,245,0,113459,0,0,0,0,0,0,0,2,0,0,0,0,0
0,17,0,2,0,0,0,0,0,0,0,0,41,41,0,0,0,0,246,0,131491,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3,29,5,16,28,60,0,0,0,0,0,50,50,10,11221,8,9,247,33,77,10,5,0,50,0,4,0,1,0,7,4,4,50
7,1,58,1,39,15,60,0,0,0,0,1,50,50,0,20202,0,15,248,33,78,0,11,0,81,0,1,0,0,0,3,2,1,70
19,4,23,7,20,25,26,0,0,0,0,0,50,50,3,2001,3,7,249,33,80,3,4,0,40,0,6,0,1,0,9,4,3,53
20,5,34,3,20,21,86,0,0,0,0,0,50,50,10,21222,10,9,250,33,81,10,5,0,53,0,3,0,0,0,5,6,5,80
17,10,22,9,16,41,26,0,0,0,0,0,50,50,3,1020,3,7,251,33,82,5,2,0,35,0,4,0,2,0,12,3,5,33
25,7,21,8,16,31,33,0,0,0,0,0,50,50,3,21001,3,6,252,33,83,8,5,0,39,0,5,0,1,0,11,1,5,26
