homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
33,20,18,14,14,20,40,0,0,0,0,0,16,17,3,220,5,5,104,34,1530,5,5,0,36,0,10,0,2,0,8,4,2,30
41,1,15,15,25,30,46,0,0,0,0,0,16,16,5,1202,5,3,105,34,1738,5,7,0,34,0,12,0,0,0,8,2,2,46
22,13,20,10,24,21,53,0,0,0,0,0,16,16,3,1212,3,5,106,34,1809,3,6,0,42,0,7,0,0,0,7,4,5,30
33,8,24,17,15,44,40,0,0,0,0,0,17,16,4,20020,4,6,107,34,1819,4,2,0,30,0,8,0,2,0,12,3,3,36
14,4,29,8,14,23,46,0,0,0,0,0,17,17,3,20012,3,9,108,34,58,3,2,0,48,0,1,0,0,0,7,8,7,46
19,6,33,5,24,26,46,0,0,0,0,0,17,17,7,212,7,9,109,34,62,7,8,0,55,0,5,0,0,0,8,1,3,53
27,21,13,17,16,29,26,0,0,0,0,0,17,17,4,2010,4,3,110,34,67,4,6,0,32,0,11,0,2,0,9,2,3,36
15,2,37,3,27,19,53,0,0,0,0,0,16,17,7,21012,7,10,111,34,68,7,8,0,65,0,1,0,0,0,4,5,6,70
24,5,15,18,16,34,13,0,0,0,0,0,17,17,4,10010,4,3,112,34,210,4,2,0,22,0,9,0,2,0,13,2,5,20
12,10,49,1,19,19,66,0,0,0,0,0,16,17,6,21202,6,15,113,34,217,6,7,0,71,0,1,0,0,0,6,4,1,73
13,19,18,10,18,21,66,0,0,0,0,0,17,16,3,12202,3,7,114,34,294,3,6,0,44,0,6,0,0,0,10,1,4,56
17,18,22,12,8,25,33,0,0,0,0,0,17,17,3,11020,3,9,115,34,614,3,3,0,42,0,5,0,2,0,11,3,3,40
